"","X","carat","cut","color","clarity","depth","table","price","x","y","z"
"47587",47587,0.58,"Ideal","D","VS2",61.2,57,1876,5.37,5.41,3.3
"18235",18235,1.13,"Ideal","G","VS1",61.7,54,7404,6.77,6.71,4.16
"9037",9037,0.36,"Ideal","H","VS2",61,55,587,4.59,4.62,2.81
"2621",2621,0.74,"Very Good","F","VS1",61.7,57,3226,5.79,5.85,3.59
"25915",25915,1.54,"Ideal","G","VVS2",62.5,57,15059,7.3,7.36,4.58
"50365",50365,0.53,"Ideal","G","IF",61.9,56,2247,5.18,5.22,3.21
"11031",11031,0.9,"Ideal","D","SI1",61.8,57,4919,6.22,6.17,3.83
"40468",40468,0.38,"Ideal","D","VS1",62.2,57,1140,4.66,4.63,2.89
"12205",12205,1.01,"Very Good","G","SI1",63.7,60,5192,6.31,6.35,4.03
"27034",27034,0.32,"Ideal","F","VS2",62.5,56,645,4.37,4.43,2.75
"30035",30035,0.35,"Ideal","E","VS1",61.5,57,718,4.52,4.55,2.79
"35297",35297,0.3,"Premium","H","VS2",61.8,60,473,4.26,4.31,2.65
"1619",1619,0.81,"Ideal","E","SI2",61.8,56,3013,6,5.97,3.7
"2052",2052,0.32,"Very Good","H","VS1",61.7,61,561,4.38,4.43,2.72
"43351",43351,0.5,"Very Good","E","VS2",61.3,62,1407,5.05,5.1,3.11
"2642",2642,1.03,"Ideal","H","I1",61.5,57,3230,6.52,6.48,4
"49314",49314,0.34,"Ideal","G","SI1",61.8,54,540,4.48,4.51,2.78
"26541",26541,2.09,"Very Good","F","SI2",62.5,60,16210,8.14,8.06,5.06
"3367",3367,0.25,"Very Good","G","VS2",63,54,407,4.04,4.06,2.55
"6996",6996,1,"Premium","I","VS2",62.6,59,4155,6.33,6.28,3.95
"284",284,0.72,"Premium","G","VS2",62.9,57,2795,5.73,5.65,3.58
"41336",41336,0.48,"Fair","E","VS2",64.9,54,1215,4.94,4.92,3.2
"15985",15985,1.02,"Premium","G","VS2",62.1,58,6397,6.5,6.44,4.02
"43757",43757,0.41,"Ideal","F","IF",61.9,56,1439,4.77,4.79,2.96
"33259",33259,0.3,"Good","D","VVS1",63.3,61,825,4.21,4.23,2.67
"43079",43079,0.5,"Premium","F","SI1",59.6,60,1378,5.15,5.12,3.06
"7495",7495,1.01,"Ideal","F","SI2",61.4,56,4239,6.46,6.51,3.98
"8538",8538,0.91,"Very Good","G","SI1",60.2,58,4429,6.29,6.31,3.79
"15142",15142,1.02,"Premium","G","VS2",62.6,59,6087,6.43,6.39,4.01
"12764",12764,1.21,"Ideal","J","VS1",62.3,55,5324,6.81,6.86,4.26
"22397",22397,1.32,"Premium","F","VS2",60.9,59,10423,7.12,7.06,4.32
"30422",30422,0.32,"Very Good","H","VVS1",62.7,57,730,4.36,4.41,2.75
"12739",12739,1.13,"Premium","I","VS1",62.2,58,5316,6.68,6.63,4.14
"12158",12158,0.91,"Ideal","F","SI1",62,55,5176,6.21,6.24,3.86
"24555",24555,1.78,"Ideal","H","SI1",62.1,57,12843,7.77,7.73,4.81
"53288",53288,0.3,"Ideal","D","SI1",62.1,54,552,4.31,4.35,2.69
"22152",22152,1.51,"Ideal","H","VS1",61.2,58,10186,7.36,7.42,4.52
"15321",15321,1.23,"Premium","H","VS2",58.5,62,6150,7,6.98,4.09
"16752",16752,1.25,"Ideal","E","SI2",62.3,57,6670,6.83,6.88,4.27
"23207",23207,1.28,"Very Good","G","VVS1",60.3,59,11214,6.99,7.03,4.23
"1875",1875,0.79,"Very Good","F","SI1",58.5,61,3073,6.03,6.08,3.54
"25425",25425,1.51,"Very Good","F","VS2",62.5,58,14165,7.21,7.36,4.55
"38980",38980,0.4,"Ideal","I","IF",62.8,54,1053,4.7,4.72,2.96
"26395",26395,2.19,"Very Good","I","SI2",60.3,60,15907,8.29,8.33,5.01
"49455",49455,0.7,"Good","E","SI1",61.6,61,2111,5.64,5.66,3.48
"33316",33316,0.35,"Premium","D","SI1",61.8,59,827,4.56,4.54,2.81
"15093",15093,1.01,"Premium","F","VS1",62.6,58,6066,6.37,6.48,4.02
"47695",47695,0.5,"Ideal","G","VVS1",62.2,54,1883,5.1,5.13,3.18
"18649",18649,1.03,"Premium","E","VS1",61.5,58,7614,6.55,6.43,3.99
"30808",30808,0.3,"Fair","F","VVS2",65.5,61,743,4.19,4.15,2.73
"41780",41780,0.35,"Ideal","D","VVS1",61.5,57,1247,4.55,4.52,2.79
"48515",48515,0.58,"Ideal","G","VS1",62.6,54,1984,5.34,5.3,3.33
"2983",2983,1,"Very Good","E","I1",63,57,3300,6.32,6.35,3.99
"37262",37262,0.32,"Very Good","I","SI2",63.4,56,480,4.37,4.34,2.76
"19510",19510,1.21,"Premium","F","VS2",61.3,58,8139,6.89,6.84,4.21
"51533",51533,0.71,"Ideal","G","SI1",62.4,56,2386,5.74,5.71,3.57
"13839",13839,1.09,"Premium","E","SI1",62.5,57,5640,6.61,6.55,4.11
"5017",5017,0.9,"Very Good","J","VVS1",60.4,60,3746,6.23,6.28,3.78
"33199",33199,0.3,"Ideal","G","VVS2",62.9,55,819,4.31,4.28,2.7
"20362",20362,1.09,"Ideal","G","VVS2",61.8,56,8753,6.58,6.62,4.08
"2247",2247,1.02,"Ideal","I","VS2",62.8,57,3148,6.45,6.39,4.03
"35955",35955,0.3,"Ideal","F","SI1",62.5,56,475,4.28,4.3,2.68
"23485",23485,1.51,"Good","E","SI1",62.8,59,11487,7.16,7.2,4.51
"29368",29368,0.31,"Good","G","VS2",63.6,56,698,4.29,4.26,2.72
"24634",24634,1.53,"Premium","E","SI1",61.3,59,12968,7.4,7.35,4.52
"50990",50990,0.31,"Ideal","G","VS2",61.6,55,544,4.37,4.39,2.7
"44560",44560,0.52,"Ideal","D","SI1",61.8,56,1605,5.18,5.15,3.19
"31759",31759,0.44,"Ideal","G","SI1",61.5,57,772,4.87,4.88,3
"37594",37594,0.24,"Very Good","E","VVS2",58.9,63,485,4.05,4.07,2.39
"24059",24059,0.38,"Premium","D","SI1",59.1,58,635,4.74,4.77,2.81
"4505",4505,0.8,"Ideal","E","SI1",61.7,56,3630,5.99,6.04,3.71
"39703",39703,0.4,"Ideal","H","VVS1",62,54,1088,4.76,4.72,2.94
"35729",35729,0.3,"Ideal","D","VS2",62.5,55,911,4.31,4.3,2.69
"37898",37898,0.41,"Ideal","F","VS1",61.9,55,1007,4.76,4.8,2.96
"34093",34093,0.31,"Ideal","D","VS2",61.8,55,852,4.33,4.36,2.69
"12103",12103,1.13,"Ideal","I","VS2",62.2,55,5165,6.69,6.67,4.15
"26085",26085,1.62,"Ideal","G","VS2",61.7,54,15318,7.57,7.58,4.68
"27787",27787,0.37,"Premium","E","SI1",61.8,58,649,4.59,4.64,2.85
"22873",22873,2.32,"Premium","I","SI2",62.1,58,10913,8.47,8.43,5.25
"26484",26484,1,"Very Good","D","IF",63.3,59,16073,6.37,6.33,4.02
"28588",28588,0.3,"Ideal","G","VS2",62.5,53,675,4.3,4.27,2.68
"24317",24317,2.01,"Ideal","J","SI2",62.9,54,12565,8.03,8.07,5.06
"49285",49285,0.52,"Ideal","F","VVS2",61.5,55,2092,5.17,5.21,3.19
"33505",33505,0.32,"Ideal","G","VS1",61.2,56,828,4.43,4.39,2.7
"25520",25520,2.16,"Premium","J","SI1",60.5,59,14328,8.41,8.35,5.07
"12243",12243,0.9,"Good","E","VS1",62.7,58,5201,6.07,6.12,3.82
"52459",52459,0.7,"Ideal","G","VS2",61.2,57,2515,5.77,5.7,3.51
"42002",42002,0.51,"Very Good","F","SI1",62,54,1265,5.15,5.18,3.2
"53622",53622,0.35,"Premium","I","VS1",61.1,60,552,4.52,4.58,2.78
"24408",24408,1.52,"Very Good","H","VVS2",62.8,56,12648,7.3,7.32,4.59
"9495",9495,1.05,"Ideal","G","SI2",61.8,57,4608,6.51,6.57,4.04
"30848",30848,0.33,"Premium","H","VS1",60.2,62,743,4.47,4.44,2.68
"46987",46987,0.71,"Good","G","SI2",63.6,58,1816,5.6,5.54,3.55
"53843",53843,0.71,"Ideal","H","VVS1",62,57,2739,5.71,5.75,3.55
"2611",2611,1.15,"Premium","H","SI2",60.4,58,3220,6.8,6.75,4.09
"5238",5238,0.9,"Fair","F","SI2",62.6,58,3787,6.01,6.06,3.78
"50185",50185,0.7,"Premium","D","SI2",61.8,55,2222,5.71,5.68,3.52
"30960",30960,0.32,"Very Good","I","VS2",63,56,449,4.38,4.42,2.77
"19738",19738,1.21,"Premium","G","VS1",59.5,58,8305,6.97,7.01,4.16
"28667",28667,0.29,"Ideal","E","SI1",60.4,54,677,4.32,4.36,2.62
"35968",35968,0.3,"Ideal","G","SI1",61.8,56,477,4.34,4.37,2.69
"42314",42314,0.41,"Premium","F","VVS1",61.8,59,1295,4.74,4.77,2.94
"6721",6721,0.23,"Very Good","D","VS2",60.2,57,577,4.02,4.07,2.43
"18810",18810,1.05,"Ideal","F","VS2",59.1,57,7697,6.67,6.66,3.94
"1870",1870,0.92,"Good","J","SI2",59,63,3070,6.3,6.35,3.73
"53608",53608,0.74,"Ideal","F","SI1",62.5,56,2702,5.8,5.76,3.61
"29785",29785,0.3,"Premium","D","SI1",59.7,59,709,4.37,4.34,2.6
"16877",16877,1.26,"Very Good","G","SI1",61.7,60,6733,6.85,6.9,4.24
"24654",24654,1.7,"Premium","H","VS2",62.8,58,12992,7.57,7.52,4.74
"16273",16273,1.01,"Good","E","VS1",64.6,58,6509,6.22,6.29,4.04
"43342",43342,0.51,"Premium","F","SI1",59.4,60,1406,5.21,5.19,3.09
"26585",26585,2.24,"Ideal","H","SI2",61.4,56,16300,8.38,8.43,5.16
"21671",21671,1.96,"Premium","H","SI2",60.4,62,9769,7.96,7.9,4.79
"32195",32195,0.35,"Ideal","E","SI1",60.9,55,788,4.57,4.53,2.77
"14280",14280,1.11,"Premium","H","VS2",62.6,58,5781,6.63,6.59,4.14
"27851",27851,0.34,"Ideal","H","VVS2",60.9,55,652,4.52,4.54,2.75
"44219",44219,0.57,"Premium","F","SI1",60.7,58,1571,5.36,5.32,3.24
"11408",11408,1.01,"Very Good","I","SI2",63.4,57,5000,6.3,6.39,4.02
"13649",13649,1.05,"Ideal","F","SI1",60.6,59,5586,6.51,6.56,3.96
"42772",42772,0.62,"Very Good","F","SI2",63.1,52,1348,5.39,5.53,3.45
"7801",7801,1.02,"Ideal","G","SI2",62.7,57,4291,6.42,6.44,4.03
"10232",10232,1.06,"Ideal","I","SI1",61.9,54,4745,6.56,6.59,4.07
"30244",30244,0.33,"Ideal","E","VS2",62.1,56,723,4.4,4.45,2.75
"27239",27239,2.48,"Premium","I","SI2",63,62,17607,8.62,8.58,5.42
"17464",17464,1.06,"Very Good","G","VS1",62,58,7003,6.51,6.56,4.05
"18026",18026,1.5,"Premium","H","SI2",62.3,59,7291,7.27,7.21,4.52
"25290",25290,1.51,"Very Good","F","VS2",61.9,63,13945,7.35,7.26,4.52
"23134",23134,1.5,"Premium","I","VVS1",62.4,60,11155,7.32,7.29,4.56
"41379",41379,0.41,"Ideal","E","VVS1",61.4,57,1221,4.77,4.8,2.94
"1909",1909,1,"Premium","H","SI2",62.8,60,3080,6.46,6.34,4.02
"7357",7357,1.12,"Premium","E","SI2",63,61,4215,6.66,6.61,4.18
"30194",30194,0.42,"Good","F","SI1",63.4,56,722,4.75,4.78,3.02
"38609",38609,0.39,"Very Good","D","VS2",59.5,57,1040,4.79,4.82,2.86
"45023",45023,0.54,"Ideal","H","VS1",62.7,57,1637,5.23,5.17,3.26
"43273",43273,0.3,"Very Good","I","SI1",63.4,57,506,4.25,4.23,2.69
"46770",46770,0.52,"Ideal","D","VS2",61.9,55,1802,5.19,5.21,3.22
"35689",35689,0.39,"Ideal","H","VVS2",61.9,54,911,4.7,4.73,2.92
"37208",37208,0.34,"Ideal","G","IF",61,55,974,4.51,4.54,2.76
"32529",32529,0.35,"Premium","H","VVS1",61.2,60,798,4.51,4.54,2.77
"48475",48475,0.66,"Good","H","VS1",59.8,60.9,1978,5.62,5.68,3.38
"9746",9746,1.09,"Premium","I","VS2",61.3,58,4659,6.63,6.58,4.05
"8978",8978,1.01,"Good","G","SI1",63.8,56,4504,6.32,6.37,4.05
"20862",20862,1.54,"Premium","H","VS2",60.3,60,9081,7.47,7.45,4.5
"13064",13064,1.16,"Fair","H","SI1",65.8,58,5411,6.54,6.46,4.28
"1579",1579,0.71,"Ideal","G","SI1",61.9,56,3007,5.73,5.76,3.55
"25354",25354,0.28,"Very Good","E","VVS2",59.1,59,642,4.27,4.33,2.54
"12284",12284,1.36,"Very Good","J","SI2",62.6,58,5215,7,7.12,4.42
"880",880,1,"Fair","H","SI1",65.5,62,2873,6.14,6.07,4
"14690",14690,1.08,"Good","D","SI1",63.8,59,5927,6.47,6.39,4.1
"40060",40060,0.46,"Good","F","VS1",64.4,60,1113,4.88,4.9,3.15
"25714",25714,1.5,"Ideal","E","VS2",63.4,54,14618,7.22,7.25,4.59
"1395",1395,0.24,"Ideal","G","IF",61.7,56,559,3.99,4.01,2.47
"40610",40610,0.29,"Ideal","H","VS1",61.8,57,498,4.27,4.31,2.64
"22451",22451,1.5,"Good","H","VS2",63.6,58,10478,7.27,7.22,4.61
"17421",17421,1.05,"Ideal","G","VS2",61.6,59,6981,6.51,6.54,4.02
"38186",38186,0.41,"Ideal","D","SI1",61.4,56,1015,4.8,4.77,2.94
"3504",3504,0.9,"Good","E","SI2",63.4,60,3401,6.02,6.07,3.83
"1761",1761,0.78,"Very Good","F","SI1",62.4,58,3045,5.83,5.86,3.65
"2179",2179,0.8,"Premium","G","VS2",59.6,59,3136,6.09,6,3.6
"12931",12931,1.31,"Very Good","J","SI1",62.5,55,5382,6.97,7.05,4.38
"6787",6787,1.02,"Premium","I","SI1",61.7,58,4113,6.48,6.45,3.99
"34262",34262,0.3,"Ideal","H","SI1",62.1,56,465,4.3,4.32,2.67
"12376",12376,0.36,"Ideal","E","SI1",60.9,57,597,4.58,4.62,2.8
"2152",2152,0.7,"Very Good","G","VS1",61.9,57,3127,5.68,5.71,3.53
"3392",3392,0.27,"Very Good","E","VVS2",59.7,61,567,4.24,4.27,2.54
"38594",38594,0.43,"Good","H","VVS1",61.2,61,1037,4.84,4.9,2.98
"37163",37163,0.32,"Ideal","D","VS2",62.3,57,972,4.41,4.39,2.74
"30129",30129,0.32,"Ideal","G","VS2",61.8,57,720,4.4,4.37,2.71
"48300",48300,0.51,"Very Good","D","VS1",62.2,59,1959,5.1,5.13,3.18
"35949",35949,0.3,"Ideal","F","SI1",61.9,54,475,4.33,4.36,2.69
"10769",10769,0.9,"Ideal","E","SI1",61.1,56,4854,6.21,6.23,3.8
"28940",28940,0.3,"Premium","H","VVS1",62.7,59,684,4.29,4.32,2.7
"19598",19598,1.62,"Ideal","I","SI2",62.2,57,8220,7.51,7.57,4.69
"29691",29691,0.31,"Ideal","H","VVS1",62.2,54,707,4.36,4.39,2.72
"10527",10527,1,"Good","G","VS1",63.7,60,4805,6.38,6.31,4.04
"22542",22542,1.02,"Premium","D","VVS2",61.4,58,10580,6.43,6.46,3.96
"46834",46834,0.67,"Premium","F","SI1",61.3,59,1809,5.65,5.63,3.46
"53780",53780,0.74,"Very Good","E","SI2",59.1,60,2728,5.88,5.93,3.49
"41351",41351,0.57,"Good","H","SI1",63.1,54,1218,5.28,5.3,3.34
"20086",20086,1.37,"Premium","H","VS2",62.5,59,8562,7.12,7.05,4.43
"17928",17928,1.53,"Ideal","G","SI2",61.7,57,7240,7.44,7.41,4.58
"31873",31873,0.3,"Ideal","H","VVS2",62.1,56,776,4.32,4.28,2.67
"50852",50852,0.7,"Very Good","H","VS2",63.6,56,2312,5.6,5.63,3.57
"12382",12382,0.35,"Ideal","I","VVS2",62,54,598,4.54,4.56,2.82
"781",781,0.9,"Very Good","J","SI2",63.6,58,2860,6.07,6.1,3.87
"50976",50976,0.31,"Premium","G","VS2",62.4,59,544,4.34,4.38,2.72
"46685",46685,0.7,"Ideal","I","SI1",61.3,57,1790,5.72,5.75,3.52
"42723",42723,0.52,"Ideal","E","SI1",62.1,54,1341,5.17,5.2,3.22
"40132",40132,0.41,"Ideal","E","VS1",60.4,55,1115,4.85,4.89,2.94
"25681",25681,0.31,"Ideal","F","VS1",61.5,54,642,4.36,4.39,2.69
"19837",19837,1.01,"Very Good","E","VVS2",61.6,58,8401,6.4,6.46,3.96
"36251",36251,0.41,"Ideal","E","VS2",62.1,57,935,4.74,4.79,2.96
"13527",13527,1,"Premium","E","SI1",60.7,59,5544,6.41,6.38,3.88
"26359",26359,0.32,"Very Good","H","VVS2",62.1,58,645,4.34,4.39,2.71
"31046",31046,0.34,"Ideal","D","SI1",62,55,750,4.53,4.5,2.8
"1363",1363,1.5,"Fair","H","I1",65.6,54,2964,7.26,7.09,4.7
"28617",28617,0.3,"Good","E","SI1",63.7,58,675,4.27,4.24,2.71
"25344",25344,2,"Very Good","I","SI1",63.6,57,14057,7.9,7.99,5.05
"49158",49158,0.5,"Premium","G","VVS1",61,60,2070,5.12,5.08,3.11
"23702",23702,0.3,"Premium","I","IF",60.5,59,631,4.32,4.34,2.62
"18059",18059,0.34,"Ideal","G","VS2",61.4,55,616,4.51,4.54,2.78
"3812",3812,0.73,"Ideal","D","VS2",61.4,56,3467,5.81,5.78,3.56
"43041",43041,0.5,"Premium","E","SI1",63,61,1374,5.07,5.03,3.18
"45874",45874,0.51,"Premium","D","VS2",60.9,58,1716,5.18,5.14,3.14
"16585",16585,1.08,"Premium","D","SI1",62.8,58,6623,6.62,6.51,4.12
"1391",1391,0.24,"Ideal","G","VVS1",62,55,559,4.01,4.03,2.49
"13476",13476,1.22,"Premium","G","SI2",60.2,58,5534,6.92,6.9,4.16
"45526",45526,0.57,"Ideal","D","SI1",61.4,55,1684,5.34,5.35,3.28
"36631",36631,0.4,"Ideal","E","VS1",62.5,55,947,4.67,4.71,2.93
"13690",13690,1.01,"Ideal","E","SI1",62.1,54,5599,6.5,6.41,4.01
"20505",20505,1.51,"Very Good","I","VS2",62.3,60,8836,7.29,7.35,4.56
"2218",2218,0.7,"Very Good","E","VS1",62.8,57,3145,5.65,5.68,3.56
"35359",35359,0.42,"Premium","D","SI2",60.8,59,898,4.83,4.77,2.92
"53507",53507,0.7,"Very Good","D","SI1",62.1,56,2686,5.65,5.69,3.52
"16326",16326,1.27,"Premium","I","VS1",62.2,59,6532,6.92,6.87,4.29
"14459",14459,1.06,"Ideal","F","SI1",61.9,57,5834,6.57,6.54,4.06
"51130",51130,0.71,"Ideal","E","SI2",58.7,57,2340,5.89,5.86,3.44
"45929",45929,0.53,"Very Good","G","VS1",60.1,58,1721,5.27,5.32,3.18
"23199",23199,1.52,"Ideal","H","VS2",60.7,56,11206,7.49,7.41,4.52
"50774",50774,0.81,"Fair","F","SI2",68.8,79,2301,5.26,5.2,3.58
"13882",13882,1.31,"Very Good","I","SI2",60.9,58,5652,7.03,7.07,4.29
"45612",45612,0.51,"Ideal","G","VS1",61.9,56,1691,5.12,5.16,3.18
"38146",38146,0.3,"Very Good","G","VVS1",63.5,57,1013,4.27,4.24,2.7
"30691",30691,0.4,"Ideal","E","SI1",60.5,57,737,4.77,4.81,2.9
"25537",25537,2.14,"Ideal","G","SI2",62.9,56,14359,8.18,8.14,5.13
"47715",47715,0.63,"Very Good","D","SI1",62.8,57,1885,5.4,5.46,3.41
"14619",14619,1.26,"Premium","G","SI2",59.1,59,5899,7.09,7.05,4.18
"37293",37293,0.52,"Good","I","SI1",63.6,60,978,5.05,5.1,3.23
"35337",35337,0.32,"Ideal","G","IF",61.7,57,898,4.39,4.42,2.72
"56",56,0.3,"Ideal","I","SI2",61,59,405,4.3,4.33,2.63
"34735",34735,0.37,"Ideal","E","VS1",61.2,56,876,4.64,4.67,2.85
"16909",16909,1.23,"Premium","G","SI1",62.4,55,6750,6.89,6.83,4.28
"3108",3108,0.69,"Very Good","G","VVS1",60.8,55,3323,5.74,5.77,3.5
"14605",14605,1.15,"Ideal","D","SI2",61.7,57,5891,6.72,6.76,4.16
"30051",30051,0.41,"Very Good","G","SI1",60.3,60,719,4.76,4.8,2.88
"9684",9684,1.23,"Premium","J","SI1",61.9,54,4649,6.89,6.86,4.26
"41842",41842,0.4,"Good","D","VS1",56.3,59,1254,4.94,4.97,2.79
"29514",29514,0.32,"Ideal","E","VS2",61.9,56,702,4.36,4.4,2.71
"39054",39054,0.54,"Ideal","I","SI1",61.9,54,1057,5.25,5.28,3.26
"5190",5190,0.9,"Good","H","VS2",63.6,55,3775,6.14,6.09,3.89
"20848",20848,1.5,"Premium","G","SI2",61.8,59,9072,7.29,7.21,4.48
"14931",14931,1.22,"Premium","E","SI2",61.5,58,6012,6.84,6.86,4.21
"21827",21827,1.04,"Ideal","E","VVS2",62.4,56,9897,6.51,6.47,4.05
"35344",35344,0.42,"Very Good","H","SI1",63.2,58,898,4.79,4.77,3.02
"32541",32541,0.27,"Ideal","E","VVS2",61.8,57,799,4.16,4.12,2.56
"40167",40167,0.58,"Very Good","G","SI2",63.3,58,1117,5.26,5.29,3.34
"40448",40448,0.51,"Ideal","F","SI2",61.1,56,1139,5.18,5.21,3.17
"38492",38492,0.42,"Ideal","D","VS2",61.2,56,1031,4.8,4.84,2.95
"29813",29813,0.3,"Ideal","D","SI1",62.5,57,709,4.28,4.26,2.67
"5412",5412,0.9,"Ideal","G","SI2",62.8,54,3820,6.11,6.15,3.85
"26268",26268,1.68,"Ideal","G","VS2",62.5,54,15740,7.61,7.64,4.76
"44726",44726,0.47,"Very Good","F","VVS2",62.1,56,1616,4.96,4.99,3.09
"37195",37195,0.46,"Ideal","I","VS1",62.3,56,974,4.96,4.93,3.08
"11500",11500,1.02,"Very Good","F","SI1",61.9,58,5019,6.43,6.49,4
"52354",52354,0.7,"Very Good","G","VS2",59.6,60,2501,5.71,5.8,3.43
"44719",44719,0.62,"Ideal","I","VVS2",62.6,57,1615,5.47,5.5,3.44
